ucid,content_pretty_name,content_kind,difficulty,subject,learning_stage,level1_id,level2_id,level3_id,level4_id
Ii1pVHrc3A/M6pPt8oHbceXvm/CskxJAkGhFtt4isDg=,【基礎】圓形,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,V2BW7DfJ2aUyOPW4uNOCs0JrnU/miU/14v6wRcbl59E=
O5REHVmAHn7gqbV004+NYosaXTrsEuiqcIORcWSdXXY=,【基礎】點與圓的位置關係,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
4BVALn5irV1247RL43vCYHrGwGO+WyV5JNasXCe3N8Y=,【基礎】直線與圓的位置關係,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
f7095rj+E71WXpZHXMkEExF0RcHXLX3GBHaoIK6/1GM=,【基礎】圓的切線性質,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
nBwPY4ITPn4irJXI7w5Vv522X8MdSZdwqehjg03kgBE=,【基礎】圓外切四邊形,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
E3B9SjT8bMG3v5nbUC0ygPR3x4i/oVjGtA/5V/f05rg=,【基礎】弦心距的應用,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
ODEv/zQe85ashn/pvTconu7UT/KCBkxkZokBH6H8OxI=,【基礎】兩圓的位置關係,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
UqfpH7HCLC3Ct5Qj8lQ5MA9fzVPZBoROdRbVJpqQRs8=,【基礎】兩圓的公切線,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
SJTFghEQOed1hZMCrR3hHBJLS2VNyHCmi8/CHDDmy44=,【基礎】兩圓的公切線段長,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,OjEr2SRBJ+3UWodm3SSoEv8Ak4SYmFRUsvqb+RIo4wI=
zHqZC5BMQzmA8ZbWd776nwinT6LWg2mxiT0WiW/5YZE=,【基礎】弦、弧與圓心角,Exercise,easy,math,junior,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,APMXggE9pI1fpPhZYSwqSQGw/eQmPpLFBY7s9oBPWIk=,bxb8stIZjmMwCcJDMx6GxgMVJmASONmhXU7Z/H7+1Tk=
