support,itemsets
0.0384381199300768,['HKqPgUALqZGw984KFqAMeDwDJTi9cNhJ51UXfjzELSg=']
0.1594681122699507,['TwyqyV1uJYlDAX8wX/PtTCVZEBo/APIVfTzzleGkNCQ=']
0.08852355979808693,['T7V7D8OgJF2BeuK/agj56BY9ibTmoqRbGdtwrt8a1SQ=']
0.07811364484512796,['OVGQBBcCHSOyJ89uwY+z15n2iuZYrv8Tajf37jiGzqc=']
0.06401115628621373,['nBtFGzjZtlpB0wyz3JkA25mI5JiF+hdWJNzJUiMw1V8=']
0.05937579792980182,['GKsTLPdjoFT5L8MFLduUaKOBTgtAz0RjoP8E5qYsmF8=']
0.04988902637833166,['uwQG8/ZoR1/zZTjWe3OIyW1B3Qqs58hnkYXRteZxUxU=']
0.04986938502936382,['mMl55exzvbIy5f5RyY0tmq7WvK5KPLjw/i63OE+diLU=']
0.04468406890185218,['PlMIYvc3fCsZ4pYDuAJK1ADA8SMuWLshZIh1bvsDgaY=']
0.043269891776167184,['XbcpTfT1RFwmsRn98oMDsQeWhCEAh7GOGSxllLaYMLg=']
0.04163965981183588,['9/t+DtjQ/LZtSlRiyxT42j/uCkaXNx3dilnbirw8Idg=']
0.039204132539822835,['AI1fp53PL5PAqIN/QBoT8xH/OkkpVuGuw+2Bfw9WjbM=']
0.03867381611769096,['6U61DyP2lMcrqSxLp8pU4JOtVvXq/BnxM/YXDVtOMbQ=']
0.03786852081000923,['7+zCeocizYIObv87m8EGftFwibVwD/QmbxfbCVzvqmM=']
0.0374364111327166,['5KQ7wVusODIGXeR77YTjuxxWFJmiYmgbaEGhEYj+nLA=']
0.039636242217115474,['ItQToCzXe/WAeMATDm4tC8gEsJil65dsJph2puJeiSQ=']
0.057765207314438356,['iJ+Rpf5Qnw63bObvZLfXRBU4Hmi06Io+lXRGV9hsFgg=']
0.05584035511558934,['s50m57r2jUJxOLDuXF77hZ35UjzqvVkzPKEWj9xqzxI=']
0.05348339323944769,['eckDRfpc73OUXcSW4vV+4Y6JZaIfSERP9bUZIrNtLyM=']
