support,itemsets
0.0384381199300768,frozenset({'【基礎】比快、比慢'})
0.06401115628621373,frozenset({'【基礎】三角形的邊長性質'})
0.05937579792980182,frozenset({'【基礎】乘除的併式'})
0.04988902637833166,frozenset({'【基礎】三角形的面積'})
0.04986938502936382,frozenset({'【基礎】擴分和等值分數 2'})
0.04468406890185218,frozenset({'【基礎】四則混合計算'})
0.043269891776167184,frozenset({'【基礎】約分和等值分數 1'})
0.04163965981183588,frozenset({'【基礎】公因數的應用問題'})
0.039204132539822835,frozenset({'【基礎】鈍角、銳角與平角'})
0.03867381611769096,frozenset({'【基礎】異分母分數的加法'})
0.03786852081000923,frozenset({'【基礎】平行四邊形的面積'})
0.0374364111327166,frozenset({'【基礎】先約分再通分的異分母分數加法'})
0.039636242217115474,frozenset({'【基礎】質數與合數'})
0.057765207314438356,frozenset({'【基礎】認識角'})
0.05584035511558934,frozenset({'【基礎】讀寫一千萬以內的數'})
0.05348339323944769,frozenset({'【基礎】認識直角'})
0.04943727535207118,frozenset({'【基礎】角的大小比較'})
0.04880875218510007,frozenset({'【基礎】立體形體的分類'})
0.046392866262054876,frozenset({'【基礎】量角器的應用'})
0.04209141083809636,frozenset({'【一般】角、正方形與長方形綜合習題'})
0.040696875061379215,frozenset({'【基礎】十萬以內的數'})
0.04046117887376505,frozenset({'【基礎】長方形、正方形的周長公式'})
0.03794708620588062,frozenset({'【一般】十萬以內的數的大小比較 2'})
0.037770314065169994,frozenset({'【基礎】角、正方形與長方形綜合習題'})
0.03757390057549152,frozenset({'【基礎】只有加減或乘除的計算：有括號'})
0.04497868913636988,frozenset({'【基礎】平分'})
0.04059866831653998,frozenset({'【一般】圓的應用'})
0.039184491190854986,frozenset({'【基礎】認識除法算式'})
0.03851668532594819,frozenset({'【基礎】不進位乘法'})
0.03849704397698034,frozenset({'【基礎】幾分之一比大小'})
0.03804529295071986,frozenset({'【基礎】認識 24 時制'})
0.05874727476283071,frozenset({'【基礎】十個一數'})
0.05684206391294954,frozenset({'幾月幾日星期幾'})
0.053345903796672756,frozenset({'數日子'})
0.04725708561664015,frozenset({'【基礎】錢幣的認識與兌換'})
0.04662856244966904,frozenset({'【一般】三角形面積的應用 1'})
0.04611788737650502,frozenset({'【基礎】認識圓心角'})
0.04399662168797753,frozenset({'【基礎】在數線上做加減'})
0.04034333077995797,frozenset({'【基礎】梯形的面積'})
0.0390666430970479,frozenset({'【進階】10000 以內的數綜合習題'})
0.051853161275116376,frozenset({'【基礎】利用乘法找因數'})
0.043230609078231494,frozenset({'【基礎】因數與公因數綜合習題'})
0.03820242374246263,frozenset({'【基礎】找出最大公因數'})
0.05393514426570817,frozenset({'【基礎】幾個千？'})
0.05085145247775617,frozenset({'【基礎】數的大小比較和應用'})
0.046196452772376405,frozenset({'【基礎】圓心、圓周、半徑、直徑'})
0.04262172726022823,frozenset({'【基礎】在數線上數數'})
0.03998978649853672,frozenset({'【基礎】認識毫米'})
0.05238347769724825,frozenset({'【基礎】找出一個數的因數'})
0.050183646612849374,frozenset({'【基礎】最大公因數的應用題'})
0.06638775951132324,frozenset({'【基礎】整除'})
0.0496140474927818,frozenset({'【基礎】認識倍數'})
0.0373971284347809,frozenset({'【基礎】倍數的應用'})
0.06556282285467366,frozenset({'【基礎】一對一對應數數'})
0.04904444837271424,frozenset({'【基礎】真分數和假分數'})
0.04821951171606466,frozenset({'【基礎】各類四邊形及其性質'})
0.04503761318327343,frozenset({'【基礎】直角、鈍角和銳角三角形'})
0.04075579910828276,frozenset({'【基礎】正三角形和等腰三角形'})
0.037298921689941665,frozenset({'【基礎】十萬以內數的順序'})
0.04107006069176831,frozenset({'【基礎】幾千幾百幾十幾 1'})
0.037554259226523674,frozenset({'【基礎】十、百的乘法'})
0.04521438532398405,frozenset({'【基礎】認識公因數'})
0.04093257124899338,frozenset({'【一般】圖形內部、外部與周界的應用'})
0.03763282462239507,frozenset({'【基礎】數的順序_100 以內'})
0.03959695951917978,frozenset({'【一般】認識幾分之幾圓的扇形'})
0.048455207903678826,frozenset({'【基礎】比率的基本計算'})
0.0445269381101094,frozenset({'【基礎】認識線對稱圖形及對稱軸'})
0.04244495511951761,frozenset({'【基礎】對稱點、對稱邊和對稱角'})
0.04209141083809636,frozenset({'【一般】在數線上向左右移動'})
0.04140396362422171,frozenset({'【基礎】認識帶分數'})
0.05476008092235775,"frozenset({'【基礎】10 以內的大小比較', '【基礎】6 個和第 6 個'})"
0.03733820438787736,"frozenset({'【基礎】10 以內的大小比較', '【基礎】11 到 20 的數'})"
0.04741421640838293,"frozenset({'【基礎】幾個十幾個一(1)', '【基礎】6 個和第 6 個'})"
0.040677233712411366,"frozenset({'【基礎】幾個十幾個一(2)', '【基礎】幾個十幾個一(1)'})"
0.059729342211223065,"frozenset({'【基礎】11 到 20 的數', '【基礎】6 個和第 6 個'})"
0.05350303458841553,"frozenset({'【基礎】幾個十幾個一(2)', '【基礎】6 個和第 6 個'})"
0.04095221259796123,"frozenset({'【基礎】2 個一數，5 個一數', '【基礎】6 個和第 6 個'})"
0.038752381513562355,"frozenset({' 時間的基本概念', '【基礎】6 個和第 6 個'})"
0.04293598884371379,"frozenset({'【基礎】數錢', '【基礎】6 個和第 6 個'})"
0.06080961640445466,"frozenset({'【基礎】第幾個', '【基礎】6 個和第 6 個'})"
