support,itemsets
0.06465534626709152,frozenset({'【基礎】認識函數的對應關係'})
0.05025612067922398,frozenset({'【基礎】二元一次方程式的解與圖形上的點'})
0.04440769572056629,frozenset({'【基礎】畫出二元一次方程式的圖形'})
0.04271366918081717,frozenset({'【基礎】利用差的平方公式求值'})
0.0692130843383213,frozenset({'【進階】數線上的非整數點'})
0.05650788529020288,frozenset({'【基礎】異號數相加'})
0.05110313394909854,frozenset({'【基礎】求中點坐標'})
0.04719073932158271,frozenset({'【基礎】整數的乘法 1'})
0.046343726051708146,frozenset({'【基礎】乘法分配律的應用'})
0.0462630581212439,frozenset({'【進階】數線的特性'})
0.06348566127535998,frozenset({'【基礎】二元一次式的列式'})
0.052151817045133705,frozenset({'【基礎】用移項法則解方程式：整數係數'})
0.04985278102690276,frozenset({'【基礎】用等量公理解方程式：加法、減法'})
0.05275682652361554,frozenset({'【基礎】互質'})
0.06872907675553584,frozenset({'【基礎】交換律與結合律的應用'})
0.0679223974508934,frozenset({'【基礎】同號數相加'})
0.06723672004194732,frozenset({'【基礎】一元一次方程式的意義與列式'})
0.05400717944581132,frozenset({'【一般】代數式的值'})
0.05356350582825797,frozenset({'【基礎】一元一次方程式的解'})
0.05098213205340217,frozenset({'【基礎】一元一次式的乘除運算'})
0.04711007139111846,frozenset({'【一般】指數的應用'})
0.046424393982172386,frozenset({'【一般】分配律'})
0.045537046747065706,frozenset({'【基礎】整數的四則運算'})
0.043318678659299,frozenset({'【基礎】質因數分解與標準分解式'})
0.04327834469406688,frozenset({'【基礎】數線上兩點的距離'})
0.06788206348566128,frozenset({'【基礎】因數與倍數'})
0.069777759851571,frozenset({'【基礎】整數的減法'})
0.05929092889121929,frozenset({'【基礎】利用分配律求值'})
0.05457185495906103,frozenset({'【基礎】三一律與遞移律'})
0.04444802968579841,frozenset({'【基礎】公因數與最大公因數'})
0.043883354172548704,frozenset({'【基礎】分數的約分與擴分'})
0.061670632839914495,frozenset({'【進階】負整數與數線'})
0.05804057596902351,frozenset({'【進階】負數的使用情境'})
0.05574153995079256,frozenset({'【基礎】因數的應用'})
0.05239382083652644,frozenset({'【基礎】指數律 1：底數為整數'})
0.04577905053845844,frozenset({'【基礎】二元一次式的化簡：合併同類項'})
0.04892509982656395,frozenset({'【基礎】二元一次式的求值'})
0.06433267454523454,"frozenset({'【基礎】數的相關名詞介紹', '【基礎】正數與負數'})"
0.05223248497559795,"frozenset({'【基礎】數線上的點坐標', '【基礎】正數與負數'})"
0.050901464122937924,"frozenset({'【一般】絕對值', '【一般】數的大小'})"
0.042511999354656556,"frozenset({'【基礎】數的相關名詞介紹', '【基礎】數線上的點坐標', '【一般】數的大小'})"
0.05666922115113137,"frozenset({'【基礎】數的相關名詞介紹', '【一般】絕對值'})"
0.053966845480579194,"frozenset({'【基礎】數線上的點坐標', '【一般】絕對值'})"
0.051224135844794905,"frozenset({'【基礎】相反數', '【一般】絕對值'})"
0.04965111120074214,"frozenset({'【基礎】數的相關名詞介紹', '【基礎】相反數'})"
0.04585971846892268,"frozenset({'【基礎】相反數', '【一般】數的大小'})"
0.05009478481829548,"frozenset({'【基礎】數線上的點坐標', '【基礎】相反數'})"
0.04323801072883475,"frozenset({'【基礎】乘方的意義與記法', '【基礎】指數為偶數或奇數的乘方計算'})"
0.0425926672851208,"frozenset({'【基礎】去括號的加減運算', '【基礎】含絕對值的加減運算'})"
0.043439680554995364,"frozenset({'【基礎】10 的次方', '【基礎】科學記號表示法'})"
0.04989311499213488,"frozenset({'【基礎】以代數式表示數量關係', '【基礎】代數式的簡記'})"
0.04832009034808212,"frozenset({'【基礎】以代數式表示數量關係', '【一般】以代數式表示數量關係'})"
0.04452869761626266,"frozenset({'【一般】以代數式表示數量關係', '【基礎】代數式的簡記'})"
0.043480014520227483,"frozenset({'【一般】含乘方的四則運算', '【基礎】指數為偶數或奇數的乘方計算'})"
0.04368168434638809,"frozenset({'【一般】絕對值', '【基礎】絕對值'})"
